|0
868|"From article <1993Apr18.000152.2339@gnv.ifas.ufl.edu>, by jrm@gnv.ifas.ufl.edu:

Only irrational fools such as yourself are set against RKBA.  There are
*plenty* of people who support it.


The government will be overthrown *long* before that happens.  A *huge* 
millitia composed of all available men and women who care about their
country will defeat the forces of the evil Klintonistas.  The people
*will* prevail!

Oh, so you think armed citizens alone can't overthrow the government?
Consider this:  do you think *all* law enforcement officials and members
of the Armed Forces will turn against the people that they are entrusted
to serve?  Not hardly.  You can count on a lot of people in the Army,
Marines, Air Force, Navy, National Guard, police officers, and so on
joining in the cause to defend the liberties and freedoms of American
citizens.  COUNT ON IT!  THE GOVERNMENT WILL NOT BE ABLE TO DISARM
EVERYONE WITHOUT STARTING A CIVIL WAR!


Wrong again.  People will just hide their guns so these ""officers""
(more like jack-booted stormtroopers) will not be able to find them.


They will unless they are idiots.  They will realize that if they don't
then they will be *next* including you.  Believe me if what you describe
happens they will be coming for *more* than guns.  Disarming citizens
would require that everyone's cherished freedoms and liberties be
suspended temporarily.  More likely, they'd never be restored unless the
*people* do something about it.



Scott Kennedy,  Brewer and Patriot"
869|"I'll be spending this summer in Washington, DC working in Bowie, MD.
Does anyone have a summer sublease that they'd like to unload?  I'll be
in the area from about May 7 - August 20.

    Please mail me any pertinent info at (kimgh@mentor.cc.purdue.edu)."
870|"




Okay... I argued this thoroughly about 3-4 weeks ago.  Men and women are
different ... physically, physiologically, and psychologically.  Much
recent evidence for this statement is present in the book ""Brainsex"" by
Anne Moir and David Jessel.  I recommend you find a copy and read it.
Their book is an overview of recent scientific research on this topic
and is well referenced. 

Now, if women and men are different in some ways, the law can only
adequately take into account their needs in these areas where they are
different by also taking into account the ways in which men and women
are different.  Maternity leave is an example of this -- it takes into
account that women get pregnant.  It does not give women the same rules
it would give to men, because to treat women like it treats men in this
instance would be unjust.  This is just simply an obvious example of
where men and women are intrinsically different!!!!!

Now, people make the _naive_ argument that sexism = oppression.
However, maternity leave is sexist because MEN DO NOT GET PREGNANT. 
Men do not have the same access to leave that women do (not to the same
extent or degree), and therefore IT IS SEXIST.  No matter however much a
man _wants_ to get pregnant and have maternity leave, HE NEVER CAN.  And
therefore the law IS SEXIST.  No man can have access to maternity leave,
NO MATTER HOW HARD HE TRIES TO GET PREGNANT.  I hope this is clear.

Maternity leave is an example where a sexist law is just, because the
sexism here just reflects the ""sexism"" of nature in making men and women
different.  There are many other differences between men and women which
are far more subtle than pregnancy, and to find out more of these I
recommend you have a look at the book ""Brainsex"".

Your point that perhaps some day men can also be pregnant is fallacious.
If men can one day become pregnant it will be by having biologically
become women!  To have a womb and the other factors required for
pregnancy is usually wrapped up in the definition of what a woman is --
so your argument, when it is examined, is seen to be fallacious.  You
are saying that men can have the sexist maternity leave privilege that 
women can have if they also become women -- which actually just supports
my statement that maternity leave is sexist.


There is no official priesthood in Islam -- much of this function is
taken by Islamic scholars.  There are female Islamic scholars and
female Islamic scholars have always existed in Islam.  An example from
early Islamic history is the Prophet's widow, Aisha, who was recognized
in her time and is recognized in our time as an Islamic scholar.


You have no evidence for your blanket statement about all religions, and
I dispute it.  I could go on and on about women in Islam, etc., but I
recently reposted something here under the heading ""Islam and Women"" --
if it is still at your news-site I suggest you read it.  It is reposted
from soc.religion.islam, so if it has disappeared from alt.atheism it
still might be in soc.religion.islam (I forgot what its original title
was though).  I will email it to you if you like. 


Your statement that ""other religions are no different"" is, I think, a
statement based simply on lack of knowledge about religions other than
Christianity and perhaps Judaism.


Aisha, who I mentioned earlier, was not only an Islamic scholar but also
was, at one stage, a military leader.


The Prophet's first wife, who died just before the ""Hijra"" (the
Prophet's journey from Mecca to Medina) was a successful businesswoman.

Lucio, you cannot make a strong case for your viewpoint when your
viewpoint is based on ignorance about world religions."
871|"[ ... ]

Then it also supports basing such regulations on ignorance.

Miller had disappeared, and nobody bothered to present _his_
side to the Supreme Court -- in particular, that sawed-off
shotguns were used in the World War I trenches, and in other
tight spots ever since guns had been invented.  Would _you_
turn one down if you had to ""clean"" an alley in E. St. Louis?"
872|"
.. and Chuck Yeager earlier flights with the X-1...
"
873|"(Disclaimer: I'm a sufferer, not a doctor.)

I'm not sure there's a really sharp distinction between allergic and
vasomotor rhinitis.  Basically, vasomotor rhinitis means your nose is
stuffy when it has no reason to be (not even an identifiable allergy).

Decongestants and steroid sprays work for vasomotor rhinitis.  Also,
I can get surprising relief from purely superficial measures such as
saline moisturizing spray and moisturizing gel.
"
874|"
Says who? Other than a hear-say god.


You sure don't understand it.


Bill, I hereby award you the Golden Shovel Award for the biggist pile of
bullshit I've seen in a whils. I'm afraid there's not a bit of religion in
macroevolution, and you've made a rather grand statement that Science can
not explain origins; to a large extent, it already has!
"
875|"
At Robert Gordon University, programming was the main (most time-consuming) 
start of the course. The first two years consisted of five subjects:
Software Engineering (Pascal/C/UNIX), Computer Engineering (6502/6809/68000 
assembler), Computer Theory (LISP/Prolog), Mathematics/Statistics and 
Communication Skills (How to pass interviews/intelligence tests and group
discussions e.g. How to survive a helicopter crash in the North Sea).
The third year (Industrial placement) was spent working for a computer company 
for a year. The company could be anywhere in Europe (there was a special 
Travel Allowance Scheme to cover the visiting costs of professors).  
The fourth year included Operating Systems(C/Modula-2), Software Engineering 
(C/8086 assembler), Real Time Laboratory (C/68000 assembler) and Computing 
Theory (LISP).  There were also Group Projects in 2nd and 4th Years, where 
students worked in teams to select their own project or decide to work for an 
outside company (the only disadvantage being that specifications would change 
suddenly).
 
In the first four years, there was a 50%:50% weighting between courseworks and 
exams for most subjects. However in the Honours year, this was reduced to a 
30%:70% split between an Individual Project and final exams (no coursework 
assessment) - are all Computer Science courses like this?

BTW - we started off with 22 students in our first year and were left with 8 by
Honours year. Also, every course is tutored separately. Not easy trying
to sleep when you are in 8 student class :-). 

Cheers,
  Michael "
876|Does anyone has a table about the size of the wire to the amount of current it can carry.  Probably in the 1-15amp range.  My friend is interested in converting a Mazda into an electric car.  Needed information for estimation.  Thanks in advance.  
877|"
Me too! And any Yankee Stadium gifs as well, please.

Thanx in advance,"
878|"

Preliminary data regarding similar research into kangaroo overpopulation
in Australia do not in any way support the cost-effectiveness of this
approach.  It _may_ be cost-effective for deer--if you quietly overlook
the fact that the net cost to the state of deer hunting is _negative_
(i.e. a profit) because the (majority of) hunters pay for licences.
The cost comparisons are probably being done assuming that people have
to be employed to cull the animals, which is not in fact the case.
You figure people are going to pay for licences to implant contraceptive
pellets or spread baits?

There has been a fair bit of discussion about this here recently,
because the kangaroo population in the grounds of the Governor-
General's residence has now reached plague proportions.  Despite the
whines of the rampant animal-libbers, the most effective method of
controlling the population is still considered to be controlled
shooting.


Some people take satisfaction (IMHO, legitimate satisfaction) in eating
food that they have harvested themselves.  The pleasure derived from
hunting is the same as that you get from eating fruit and vegetables
grown in your own garden (and, in general, game meat is probably much 
freer of unpleasant chemicals than what you buy from the butcher or
the supermarket).


By ""cannot now be justified"" I guess you mean that you personally
don't see any justification.  Fine--but what makes your opinion
so important?


Certainly the last point is correct.  If politicians don't see any
votes for themselves in opposing stupid legislation or in developing
and supporting measures which might be effective in reducing the 
incidence of violent crime they won't do these things."
879|"
Even if what Brad says turns out to be accurate, you can bet that the
Administration will have made it ""very clear"" to the vendors that ""it
would very much be in their best interests"" to institute a ""voluntary""
policy of refusing to sell anything but Clinton Cripple equipped equipment
to anyone other than ""Authorized government agencies and Law Enforcement"",
or individuals and corporations who ""have been been determined by the
Administration to have a valid need on a case-by-case basis"" for an
effective system.

Note that this is very much like the language used in many gun control
bills/laws the Administration is pushing for, or otherwise supporting.
The logic and actual rationale (as opposed to the excuses that get fed
to the media) is the same in both cases, only the items or technology
in question are different.

I think this is no accident.  It comes from the same philosophy that
the government rules/controls the people, not the people controlling
the government, that the unconnected citizens are not sophisticated enough
to know what is best for them, so the government must tell the people
what they need or do not need ... ""we know best..."".  And the idea that
that a commoner can defend himself against government eavesdropping
or unlawful attack is totally unacceptable to people with this outlook.


Combine this all with pushing for national identity cards with 'smart
chips' to encode anything they please (internal passport) under the
guise of streamlining the State People's Health Care System, and with
(you can be certain) more jewels yet to come, and one sees an extremely
ominous trend.  So what if ""1984"" will be ten years late... it still is
turning out to be an amazingly accurate prophecy... unless a LOT of
people wake up, and in a hurry.

One should ALWAYS have every red warning light and bell and danger flag
come up when the government seeks to set itself apart in regard to
rights, etc.  from the unconnected/unprivileged citizen (or should we
now be saying 'subject' instead?)...  Why SHOULDN'T the average person
have a good, secure system of data security, not dependent on nebulous
'safeguards' for maintaining that security?  Why SHOULDN'T the average
person be able to defend himself from an agency gone rogue?  0I am sure
the Feds could break into any data they really wanted to (but it would
take some WORK), and using the same logic, one should not be allowed to
have a good safe, unless a duplicate of the key(s) or combination are
submitted for 'safekeeping' by the government?  I don't really see a
difference, philosophically.  Encrypted data sure won't evaporate, not
with such high-tech tools as a TAPE RECORDER...
"
880|"
Of course you are a bunch of arrogant lawyers who know whats best for the 
rest of us. You are doing such a wonderful job with our judicial system,
getting all the criminals off, I bow to your superior intellect. Not to
mention the fees you collect from us poor slobs who get tickets from 
speeding State Police officers, so you can soak is when we go to court.
I just love lawyer jokes! Don't you?"
881|"
wondering
                                                      -------------

Do you mean Juan Berenguer?  He was traded for Mark Davis in the middle
of last season.  Exchanged one stiff for another, as Berenguer hadn't
come back from his injury in 91.  I think he's retired now.

Anyhow, as middle relief, Marvin ain't that bad.  He at least can
pitch a couple of innings or do mop-up work.  I don't know much
about McMichael (was he the Mexican League guy?), but
everybody else in the pen is a 1 inning man, except maybe
Mercker.


-------------------------------------------------------
Eric Roush		fierkelab@	bchm.biochem.duke.edu
""I am a Marxist, of the Groucho sort""
Grafitti, Paris, 1968

TANSTAAFL! (although the Internet comes close.)"
882|":    Where can I get xman source?  I would like to get the binaries for
: xman for an HP 9000/700, but I would settle for source.  
: 
: --
Try xport.lcs.mit.edu, in direcotry /contrib.
--"
883|"Does anyone know how to size cold gas roll control thruster tanks
for sounding rockets?"
884|"SMARTCAM VERSION 7 FOR SALE. Purchased in August 1992. Latest version!
Also willing to sell 486 33dx. 124mg hard drive. 17"" multi scan monitor.

paid $11,000 for software and $2800 for computer. Also includes 1 yr maintanence
contract that can be updated every year for apx. $950 per year.

Make offer.

Call 1 800 940-7874
or 216-941-7400"
885|"About this QUADRA 700, 800 clock acceleration: has anyone heard
of anything like it for the QUADRA 950?

Please reply e-mail, I don't get to the news very often.  Thanks!!"
886|"I need to port several OS/2 PM applications to X (OpenWindows or Motif),
and desperately need any information on how to go about doing this (short
of a complete rewrite.
 
Are there any tool to make porting easer?
Any References?
Any talent out there to hire to do this?
I will even take an OS/2 Presentation Mgr emulator for sun!
 
Any, and all replies (except flames) welcome!
 
 
Brian Colaric"
887|"I recently acquired an AST Hot Shot 286 accellerator board for an 8088
sans documentation.  

Does anyone know what the dip switches on the
back of the card do?  

Did it come with software?

Any help or information about the card would be greatly
appreciated.

Thanks,
Rob
-- 
Robert M. Bultman                              |
Speed Scientific School                        |
University of Louisville                       |
Internet: rmbult01@starbase.spd.louisville.edu |"
888|"
Do you believe that any quacks exist?  How about quack diagnoses?  Is
being a ""licensed physician"" enough to guarantee that someone is not
a quack, or is it just that even if a licensed physician is a quack,
other people shouldn't say so?  Can you give an example of a
commonly diagnosed ailment that you think is a quack diagnosis,
or have we gotten to the point in civilization where we no longer
need to worry about unscrupulous ""healers"" taking advantage of
people."
889|"
I have a cheap solar charger that I keep in my car.  I purchased it via
some mail order catalog when the 4 year old battery in my Oldsmobile would
run down during Summer when I was riding my bike more than driving my car.
Knowing I'd be selling the car in a year or so, I purchased the charger.
Believe it or not, the thing worked.  The battery held a charge and
energetically started the car, many times after 4 or 5 weeks of just
sitting.

Eventually I had to purchase a new battery anyway because the Winter sun
wasn't strong enough due to its low angle.

I think I paid $29 or $30 for the charger.  There are more powerful, more
expensive ones, but I purchased the cheapest one I could find.

I've never used it on the bike because I have an E-Z Charger on it and
keep it plugged in all the time the bike is garaged."
890|"

  Which one?  The one yesterday, or has there been another?  If it was yester-
day, catch up.

  IMO, 90% of all ""conspiracy"" charges are easily explained by the simple
fact that in these days of instantaneous news transmission, all kinds of
stuff gets said when people really just don't know what the hell's going on.
Then the story changes once the facts are in and suddenly cries of ""its all a 
whitewash!"" start.  Naturally, everybody wants to cover his/her ass.


  Damnfino.  I just tend to take issue with absolute statements that are ob-
viously wrong on their face and tend to inflame, not inform.  The isolation
was significant, but not total.

semper fi,"
891|"


	I'll second that.  In addition, I find my hazards to be more
often used than my horn.  At speeds below 40mph on the interstates,
quite common in mountains with trucks, some states require flashers.
In rural areas, flashers let the guy behind you know there is a tractor
with a rather large implement behind it in the way.  Use them whenever 
you need to communicate that things will deviate from the norm.  


	Is that ZX-11 painted green?  Since the green Triumph 650 that
a friend owned was sold off, her name is now free for adoption.  How
does the name ""Thunderpickle"" grab you?"
892|"

It only falls apart if you attempt to apply it.  This doesn't mean that
an objective system can't exist.  It just means that one cannot be
implemented."
893|"A friend of mine is going in later this week for tests to see if has
emphysema.  His lung capacity has decreased over time.  His father died
of the disease.  He works in woodworking.  I believe he has a very
occasional cigarette, perhaps one cigarette a day or even less.  He tells
me this..I've never seen him light up.  He has some pretty healthy
life style habits, good diet, exercise, meditation, retreats, therapy
etc.  Anyhow..he is very concerned with this check up.  I know really
nothing about the disease.  I believe it interferes with the lining
of the lung being able to exchange oxygen.  "
894|"As you can see, I have two 1987 cars, both worth about $3000 each.
The problem is that maintenance costs on these two cars is
running about $4000 per year and insurance $3000 per year.

What am I doing wrong?

Within the last two months, the follows costs have occured:

Dodge 600 SE (Dodge's attempt at the American German car!)

$1,000 - replace head gasket
$300   - new radiator

Chevy Nova CL (Chevy's attempt at a Japan import!)

$500 - tune-up,oil change,valve gasket,middle exhaust pipe, misc.

Note also that the Chevy Nova CL (1987) has only 70 horsepwer!
Does anyone out there have a Chevy Nova with enough power
to get up even a small hill without knocking? Is there
something wrong with my car, I even use 93 octane gas!
(I have consider going to 110 octane if I can find it!)

Anyway, what are the best maintenance items to do-it-yourself,
and what equipment is needed? "
895|"FOR SALE: Pen-based electronic organizer --
Brand-new Sharp Wizard OZ-9600 (with PC link software and cable) 

 -15 ounces, measures 7""x4""x1"" (fits in most pockets)
 -256k RAM, 125k available to user
 -pen/touch-screen input for pointing and drawing
 -keyboard big enough to touch-type on
 -320x240 screen
 -windows/pop-up menus
 -excellent scheduler with alarms
 -3 telephone directories
 -3 user-configurable databases
 -full word-processor with formatting
 -drawing utility
 -outliner
 -to-do list
 -calculator
 -clock/calendar
 -terminal emulatorw/ dialing directory
 -directory/filing system
 -serial port/infrared port/IC card slot
 -uses 4 AAA batteries (about 3 months of daily use)
 -All manuals

Organizer Link II
 -software and cable for exchanging data between Wizard and a PC

 $480 or best offer for both.     I'll pay shipping.


				Steven M Friedman
				Horizon Institute for Policy Solutions"
896|"
: Also watch your mirrors any time you are turning. I just had another close
: one last night. Preparing for a right turn on a two lane road. Right turn
: signals on, starting the turn, and this lady behind me hits the throttle and
: starts to pass me on the RIGHT.  This has happened to me twice before.  the

I have had this happen to me often enough that I always look for it.
On my ride to work in the morning I come to a stop light where there are
3 lanes in my direction.  One for left turns, one for straight through, and
one for right turns.  All clearly marked.  Plus there is a clearly marked 
bicycle lane.  I ride into the right turn lane with my signal on and stop at 
the stop line.  Looking left to see if I can make a ""right turn on red"" and
when I start to move discovered that some idiot has pulled into the bike
lane and is trying to pass me on the right.  GRRR.
   I always do a head check on bike lanes.  Not always for bicycles. . ."
897|"
I don't think you're going to be able to see the differences from a sphere
unless they are greatly exaggerated.  Even the equatorial bulge is only
about 1 part in 300 -- you'd never notice a 1mm error in a 30cm globe --
and the other deviations from spherical shape are much smaller."
898|")
)
)>The official and legal term for rape is ""the crime of forcing a FEMALE 
)>to submit to sexual intercourse.""
)
)Please, supply me with some references.  I was not aware that all states
)had the word ""FEMALE"" in the rape statutes.  I am sure others are surprised
)as well.  I know thats how it works in practice (nice-n-fair, NOT!!), but
)was unaware that it was in the statutes as applying to FEMALES only,
)uniformly throughout the U.S.

I agree mostly with Chris.  It is (unfortunately, IMO) true that the *FBI*
figures for rape based on the 'uniform crime report' report only female
rapes. However, some states (such as Illinois) are not tabluated because they
refuse to comply with this sexist definition!"
899|"Using the VMODE command, all you need to do is type VMODE VESA at the dos
prompt. VMODE is included with the Speedstar 24.  I have used the VESA mode
for autodesk animator pro.
"
900|"Anyone have any information on the effects/origin of oxaprozin?
It's marketed under the name ""DAYpro"", and appears to be an
anti-inflammatory.  Is it similar to naproxin?  Stronger?

TIA"
901|"
By '8 grey level images' you mean 8 items of 1bit images?
It does work(!), but it doesn't work if you have more than 1bit
in your screen and if the screen intensity is non-linear.

With 2 bit per pixel; there could be 1*c_1 + 4*c_2 timing,
this gives 16 levels, but they are linear if screen intensity is
linear.
With 1*c_1 + 2*c_2 it works, but we have to find the best
compinations -- there's 10 levels, but 16 choises; best 10 must be
chosen. Different compinations for the same level, varies a bit, but
the levels keeps their order.

Readers should verify what I wrote... :-)"
902|"
[... stuff deleted ...]

I have to agree here.  As I heard on TSN tonight, ""You want to pick
someone else, but you just don't see how you can"".  And I'm a Bruins
fan.  Maybe this year will be different, but it doesn't look good.
Time will tell, though.

[... lots more deleted ...]

Randy"
903|"Hello.

     I purchased a video card called ET-4000 true color card which
     can provide about 1700K colors. But the question is I can't find
     the corresponding drivers for windows 3.1 , I am now using 65k
     colors driver for win31. It works fine , but I think it will be
     better if I use 1700k driver. So, please tell me whether such a
     driver is available !

     Thanks in advance.

"
904|"Hi:

I went to the orthopedist on Tuesday. He diagnosed me as having
""intersection syndrome"". He prescribed Feldene for me. I want
to know more about the disease and the drug.

Thanks
"
905|
906|"Hmm.  $1 billion, lesse... I can probably launch 100 tons to LEO at
$200 million, in five years, which gives about 20 tons to the lunar
surface one-way.  Say five tons of that is a return vehicle and its
fuel, a bigger Mercury or something (might get that as low as two
tons), leaving fifteen tons for a one-man habitat and a year's supplies?
Gee, with that sort of mass margins I can build the systems off
the shelf for about another hundred million tops.  That leaves
about $700 million profit.  I like this idea 8-)  Let's see
if you guys can push someone to make it happen 8-) 8-)

[slightly seriously]"
907|"Greetings!

Steve Summers and the Chief were on 48 Hours last night shmoozing
sports.  I unfortunately missed it.  Those of you who saw it, can
you please provide a synopsis.

Thanx.

------------------------------------------------------------------------
The Czar of Mainframe Computing <JBE5@MUSICB.MCGILL.CA>
McGill University

---> I'M TOO SEXY FOR COBOL.

---> Habs...it doesn't look good!

---> Let's Go Expos!
                ======================================
                | Peter Peter Pumkin Eater,          |
                | Knew a chick but couldn't meet her.|
                | Saw her brother one fine day,      |
                | Sucked his cock now he's gay!      |
                |           --Andrew Dice Clay       |
                ======================================"
908|"

Specifically, which changes are you talking about?  Are you arguing
that the motto is interpreted as offensive by a larger portion of the
population now than 40 years ago?"
909|"


  >[I'm sort of mystified about how a Christian might respond to this.]

  I'll start with a parable.
 
  A Christian woman hires a carpenter to build her a birdhouse.  When he comes
over, they begin talking about religion.  ""So you believe that you understand
God?"" he asks.  ""Yes, I do,"" she replies.  ""Then have him build you the 
birdhouse."""
910|"

No, IMO, Mr. Stowell missed the point.


Mr. Stowell seems to have jumped rather strangely from truth to absolutes.
I don't see how that necessarily follows.  

Are all truths also absolutes?
Is all of scripture truths (and therefore absolutes)?

If the answer to either of these questions is no, then perhaps you can 
explain to me how you determine which parts of Scripture are truths, and
which truths are absolutes.  And, who is qualified to make these 
determinations?  There is hardly consensus, even in evangelical 
Christianity (not to mention the rest of Christianity) regarding 
Biblical interpretation.

I find Mr. Stowell's statement terribly simple-minded."
911|"...
...

Yeah...I've seen you're grand mother...I bet she could."
912|"
"
913|"

And the 'Turkish Karabag' is next. As for 'Cyprus', In 1974, Turkiye 
stepped into Cyprus to preserve the lives of the Turkish population 
there. This is nothing but a simple historical fact. Unfortunately, 
the intervention was too late at least for some of the victims. Mass 
graves containing numerous bodies of women and children already showed 
what fate had been planned for a peaceful minority.

The problems in Cyprus have their origin in decades of 
oppression of the Turkish population by the Greek Cypriot 
officials and their violation of the co-founder status of 
the Turks set out in the constitution. The coup d'etat 
engineered by Greece in 1974 to execute a final solution 
to the Turkish problem was the savage blow that invoked 
Turkiye's intervention. Turkiye intervened reluctantly and 
only as a last resort after exhausting all other avenues 
consulting with Britain and Greece as the other two signatories 
to the treaty to protect the integrity of Cyprus. There simply 
was not any expansionist motivation in the Turkish action at 
all. This is in dramatic contrast to the Greek motivation which 
was openly expansionist, stated as 'Enosis,' union with Greece. 
Since the creation of independent Cyprus in 1960, the Turkish 
population, although smaller, legally had status as the co-founder
of the republic with the Greek population.

The Greek Cypriots, with the support of 'Enosis'-minded
Greeks in the mainland, have consistently ignored that
status and portrayed the Island as a Greek island with
a minority population of Turks. The Turks of Cyprus are
not a minority in a Greek Republic and they found the
only way they could show that was to assert their 
autonomy in a separate republic.

Turkiye is not satisfied with the status quo. She would
rather not be involved with the island. But, given the
dismal record of brutal Greek oppression of the Turkish
population in Cyprus, she simply cannot leave the fate
of the island's Turks in the hands of the Greeks until
the Turkish side is satisfied with whatever accord
the two communities finally reach to guarantee that
history will not repeat itself to rob Turkish Cypriots
of their rights, liberties and their very lives.


  Source: 'Cyprus: The Tale Of An Island,' A. H. Rizvi, p. 42

  21-12-1963 Throughout Cyprus
  ""Following the Greek Cypriot premeditated onslaught of 21 December,
   1963, the Turkish Sectors all over Cyprus were completely besieged
   by Greeks; all telephonic, telegraphic and postal communications
   between these sectors were cut off and the Turkish Cypriot
   Community's contact with each other and with the outside world
   was thus prevented.""

  21-12-63 -- 31-12-63 Turkish Quarter of Nicosia and suburbs
  ""Greek Cypriot armed elements broke into hundreds of Turkish
   homes and fired at the unarmed occupants with automatic
   weapons killing at random many Turks, including women, children
   and elderly persons (51 Turks were killed and 82 wounded). They
   also carried away as hostages more than 700 Turks, including
   women and children, whom they forced to walk bare-footed and
   in night-dresses across rough fields and river beds.""

   21-12-63 -- 12-12-64 Throughout Cyprus
   ""The Greek Cypriot Administration deprived Turkish Cypriots 
   including Ministers, MPs, and Turkish members of the Public
   services of the republic, of their right to freedom of movement.""

   In his report No. S/6102 of 12 December, 1964 to the Security
   Council, the UN Secretary-General stated in this respect the
   following:

  ""Restrictions on the free movement of civilians have been one of
   the major features of the situation in Cyprus since the early
   stages of the disturbances, these restrictions have inflicted
   considerable hardship on the population, especially the Turkish
   Cypriot Community, and have kept tension high.""

   25-9-1964 -- 31-3-1968 Throughout Cyprus
  
      ""Supply of petrol was completely denied to the Turkish sections.""

   Makarios Addresses UN Security Council On 19 July 1974
   After being Ousted by the Greek Junta Coup

   ""In the beginning I wish to express my sincere thanks to all the
   members of the Security Council for the great interest they have
   shown in the critical situation which has been created in Cyprus
   after the coup organized by the military regime in Greece and
   carried out by the Greek army officers who were serving in the
   National Guard and were commanding it.

   [..]

   13-3-1975 On the road travelling to the South to the freedom of
             the North

   ""A Turkish woman was seriously wounded and her four-month old
   baby was riddled with bullets from an automatic weapon fired by
   a Greek Cypriot mobile patrol which had ambushed the car in which
   the mother and her baby were travelling to the Turkish region.
   The baby died in her mother's arms.

   This wanton murder of a four-month-old baby, which shocked foreign
   observers as much as the Turkish Community, was not committed by
   irresponsible persons, but by members of the Greek Cypriot security
   forces. According to the mother's statement the Greek police patrol
   had chased their car and deliberately fired upon it.""

Serdar Argic"
914|"
"
915|"
	I'm definitely going to write my Congressman, and nobody's ever
going to make me respect a law that violates my freedom of speech, and
if the feds try to enforce this law on me, I will protect my freedoms, with
force if it ever comes to that. (Hopefully, it won't)

Doug Holland

-- "
916|"Hi, everybody:
    I guess my subject has said it all.  It is getting boring
looking at those same old bmp files that came with Windows.  So,
I am wondering if there is any body has some beautiful bmp file
I can share.  Or maybe somebody can tell me some ftp site for
some bmp files, like some scenery files, some animals files,
etc....  I used to have some, unfortunately i delete them all.

Anyway could me give me some help, please???

thanks a lot!"
917|"I used the information provided in the recent resource listings and
tried to ftp to:

ccu1.aukland.ac.nz [130.216.1.5]:  ftp/mac/architec - *VISION-3D facet

and received an 'unknown host' message.

mail to Paul D. Bourke (pdbourke@ccu1.aukland.ac.nz) bounces with basically
the same problem.

Where'd he go????

Rick

 
"
918|": In article <C4u3x5.Fw7@magpie.linknet.com> manes@magpie.linknet.com (Steve  
: [...]
: > I don't know how anyone can state that gun control could have NO
: > effect on homicide rates.  There were over 250 >accidental< handgun
: > homicides in America in 1990, most with licensed weapons.  More
: > American children accidentally shot other children last year (15)
: > than all the handgun homicides in Great Britain.  (Source: National
: > Safety Council.  Please... no dictionary arguments about RATES vs
: > TOTAL NUMBERS, okay?  They're offered for emphasis, not comparison).
: > 

: You're a great debater.  You chose your sources of information, claim them
: to  be superior,

I've made no such claim.  Please direct my attention towards any
posting of mine where I claimed superior sources of information.
It's probably because I bothered to post any references at all while
others seem content to post numbers pulled from the ozone, that
you've confused it with fact-twisting.  If so, I apologize.  

: then take those twisted numbers and twist them further by trying  

Well then, here's fair opportunity for you to prove that I've ""twisted
numbers.""  On what grounds do you contradict those references?  Do you have
any citations... any sources of your own that I can take similar
gratuitous shots at?

: to compare absolute numbers between two countries that have major population  
: differences, the USA and GB, and then whine that you are afraid someone might  
: attack your process, and so claim the numbers are for ""emphasis, not  
: comparison""?  Emphasis of what?

Nitpicking and scolding is a whiney debating style, Jim.

: Anything else is blowing smoke.

You seddit, brudda.
 "
919|"-- 
Hi netland,

I thought that I once read about the existance of a virtual mwm like vtwm.
On the usual ftp sites (gatakeeper.dec.com, export.lcs.mit.edu) I can't find
any trace of this program. Could anybody give me a hint where to find this
program or confirm/deny the existance of this program.

Regards,"
